,class,anno_key,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
196,0,NAN,1.991354875,0.3571572876,2.467319183,9.338630219,9.665673264
197,0,NAN,2.001326875,0.359103241,2.127825165,9.535620575,9.776740501
198,0,NAN,2.011299875,0.247585144,1.763033752,9.682315521,9.844634085
199,0,NAN,2.021271875,0.157023468,1.384770355,9.780361633,9.879155783
200,0,NAN,2.031244875,0.01422042847,1.100511475,9.740245056,9.802229414
201,0,NAN,2.041216875,-0.09370513916,0.866098938,9.901160431,9.939410742
202,0,NAN,2.051189875,-0.1951940918,0.8677455139,9.829309845,9.869468833
203,0,NAN,2.061161875,-0.1890568542,1.465153198,9.222022705,9.339599518
204,0,NAN,2.071134875,-0.0983454895,1.886526947,9.025182037,9.22076822
205,0,NAN,2.081106875,-0.2568658447,2.321222992,9.09628418,9.391296083
206,0,NAN,2.091079875,-0.2781216431,2.558329926,9.508975983,9.85104197
207,0,NAN,2.101051875,-0.3444337463,2.29921875,9.768685913,10.04152707
208,0,NAN,2.111023875,-0.2324665833,1.858535156,9.800719299,9.97809062
209,0,NAN,2.120996875,-0.008681945801,1.346450043,9.590107269,9.684170617
210,0,NAN,2.130968875,0.2216889954,0.9157955933,9.431736603,9.478685717
211,0,NAN,2.140941875,0.3141966248,0.5998027039,9.600435791,9.624284398
212,0,NAN,2.150913875,0.2993774414,0.4207749939,9.963580627,9.976954313
213,0,NAN,2.160886875,0.2495310974,0.4760101318,10.16880386,10.18299678
214,0,NAN,2.170858875,0.1273851013,0.6414161682,10.05848328,10.07971862
215,0,NAN,2.180831875,0.01407073975,0.7749385071,9.885892181,9.916228713
216,0,NAN,2.190803875,-0.08517288208,0.9139993286,9.739496613,9.782660347
217,0,NAN,2.200776875,-0.1188528442,1.01444046,9.482930145,9.537776449
218,0,NAN,2.210748875,-0.1492396545,0.9674382019,9.50104248,9.551335894
219,0,NAN,2.220721875,-0.08412506104,0.9114546204,9.598938904,9.642481767
220,0,NAN,2.230693875,0.1534309387,1.135987701,9.602830811,9.671006602
221,0,NAN,2.240666875,0.1031355286,1.272803192,9.800569611,9.88341184
222,0,NAN,2.250638875,-0.1814227295,1.171763306,10.29065048,10.35873693
223,0,NAN,2.260611875,-0.3433859253,1.23328537,10.83656525,10.91192252
224,0,NAN,2.270583875,-0.4686753845,1.592238922,11.20554794,11.32780588
225,0,NAN,2.280556875,-0.5613327026,1.621877289,10.44228516,10.58238629
226,0,NAN,2.290528875,0.1764830017,0.9960287476,9.284442902,9.339384322
227,0,NAN,2.300501875,0.7168592834,-0.08906478882,8.574618988,8.60499335
228,0,NAN,2.310473875,0.6776408386,-0.7291337585,9.146280212,9.200286673
229,0,NAN,2.320446875,0.6948550415,-0.193996582,10.14290771,10.16853161
230,0,NAN,2.330418875,0.5834866333,0.4724176025,10.14859589,10.17632711
231,0,NAN,2.340391875,0.5243595886,0.7505392456,10.031689,10.07338306
232,0,NAN,2.350363875,0.288899231,0.769100647,10.28166916,10.3144413
233,0,NAN,2.360336875,-0.3556604004,0.5373825073,10.66382446,10.68327789
234,0,NAN,2.370308875,-1.156495056,0.2887495422,11.03729782,11.10147739
235,0,NAN,2.380282542,-1.274749146,0.7017407227,10.8319249,10.9292279
236,0,NAN,2.390254542,-0.8812174988,0.3263214111,10.44108765,10.48328866
237,0,NAN,2.400227542,0.007334747314,-0.8828640747,10.57790314,10.614685
238,0,NAN,2.410199542,1.408870239,-1.932780762,10.61397812,10.88012354
239,0,NAN,2.420172542,1.265917511,-1.894610138,9.990075531,10.24664354
240,0,NAN,2.430144542,1.125210114,-1.601070557,9.584868164,9.78259794
241,0,NAN,2.440117542,1.190324707,-1.553020477,9.557475128,9.755720185
242,0,NAN,2.450089542,1.912722473,-1.897753601,10.01672012,10.37278449
243,0,NAN,2.460062542,1.86392395,-1.845811615,10.48434769,10.80753346
244,0,NAN,2.470034542,1.761536865,-1.75869278,10.66711761,10.95369393
245,0,NAN,2.480007542,1.646575928,-1.658401337,10.88775879,11.13574419
246,0,NAN,2.489979542,1.394350433,-1.510359192,10.77339661,10.96774692
247,0,NAN,2.499952542,1.044677582,-1.300495605,10.4880899,10.61991855
248,0,NAN,2.509924542,0.8848100281,-1.139729919,10.20323227,10.30474754
249,0,NAN,2.519897542,0.6939569092,-1.185684357,9.941726074,10.03620152
250,0,NAN,2.529869542,0.3686833191,-1.175804901,9.758656769,9.836148966
251,0,NAN,2.539842542,0.01886077881,-1.288370819,9.653425598,9.739039012
252,0,NAN,2.549814542,-0.3788621521,-1.426683197,9.367370453,9.48296318
253,0,NAN,2.559786542,-0.9039701843,-1.447489929,9.091045074,9.249837282
254,0,NAN,2.569759542,-1.476978607,-1.575623474,8.976084137,9.232233834
255,0,NAN,2.579731542,-1.910177765,-1.652413788,8.915460205,9.266319716
256,0,NAN,2.589704542,-2.136956177,-1.788331146,8.849597168,9.277935116
257,0,NAN,2.599676542,-2.503394165,-2.196532288,8.680149536,9.29713571
258,0,NAN,2.609649542,-3.035836945,-2.334545288,8.563092957,9.380456739
259,0,NAN,2.619621542,-3.390748901,-2.107766876,8.65515152,9.531605696
260,0,NAN,2.629594542,-3.588787079,-1.897304535,8.828940125,9.717476057
261,0,NAN,2.639566542,-3.629951477,-1.710343323,9.165140991,10.00508028
