"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.852518017E1,3.135230255E0,2.314936066E0,-4.598138123E0,6.027559368E0
2.853515217E1,3.314407654E0,3.152743835E0,-7.778125305E0,9.023542821E0
2.854512517E1,3.201542358E0,5.530249786E0,-1.041519150E1,1.221923689E1
2.855509817E1,2.723586273E0,7.484885101E0,-1.144175674E1,1.394113426E1
2.856507117E1,1.983674927E0,8.271349640E0,-1.070543793E1,1.367320710E1
2.857504317E1,2.444117432E0,8.986412659E0,-9.239236908E0,1.311841534E1
2.858501617E1,3.747457123E0,1.012404694E1,-9.054221649E0,1.408966610E1
2.859498917E1,4.775968323E0,9.930798798E0,-9.140142975E0,1.431687297E1
2.860496217E1,5.553002472E0,9.635762329E0,-9.883197784E0,1.487821732E1
2.861493417E1,5.563031616E0,9.013057251E0,-1.143457169E1,1.558627446E1
2.862490717E1,4.536017303E0,7.886799316E0,-1.273282196E1,1.564933901E1
2.863488017E1,3.095862122E0,8.070467377E0,-1.411310165E1,1.654981705E1
2.864485317E1,1.809736633E0,8.839867401E0,-1.474748245E1,1.728891671E1
2.865482517E1,1.057850189E0,9.238039398E0,-1.398227371E1,1.679179553E1
2.866479817E1,6.728507996E-1,9.345665588E0,-1.146959885E1,1.481033056E1
2.867477117E1,8.786727905E-1,9.279952240E0,-7.802075500E0,1.215573780E1
2.868474417E1,1.347198486E0,8.951385498E0,-3.727398834E0,9.789573441E0
2.869471617E1,1.346150665E0,8.535699921E0,1.043330383E-1,8.641827361E0
2.870468917E1,1.284628601E0,8.382268982E0,4.238885193E0,9.480551229E0
2.871466217E1,1.318308563E0,8.528963928E0,8.123157806E0,1.185187141E1
2.872463517E1,7.078779602E-1,9.395811310E0,1.123892853E1,1.466614727E1
2.873460717E1,3.586541748E-1,1.007435028E1,1.218376373E1,1.581345203E1
2.874458017E1,8.247848511E-2,9.675130463E0,1.117800522E1,1.478386799E1
2.875455317E1,-1.282832336E-1,8.786877594E0,9.282946014E0,1.278275249E1
